institution,service,price,date,time,start_dt,location
Medina Egészségcentrum,Bőrgyógyászat szakorvosi vizsgálat,29242.0,2025-08-07,16:13:00,2025-08-07 16:13:00,"Budapest, Liszt Ferenc utca 6"
Medve Medical Egészségközpont,Bőrgyógyászat szakorvosi vizsgálat,31170.0,2025-08-18,14:17:00,2025-08-18 14:17:00,"Budapest, Medve utca 34-40"
Menzou Dental,Bőrgyógyászat szakorvosi vizsgálat,31513.0,2025-08-08,07:57:00,2025-08-08 07:57:00,"Budapest, Vérmező út 6, földszint 1"
Móricz Medical Center,Bőrgyógyászat szakorvosi vizsgálat,36974.0,2025-07-13,06:14:00,2025-07-13 06:14:00,"Budapest, Móricz Zsigmond körtér 2, 1. emelet 2"
myderm Magánbőrgyógyászati és Orvosi Esztétikai Rendelő,Bőrgyógyászat szakorvosi vizsgálat,28535.0,2025-07-17,16:15:00,2025-07-17 16:15:00,"Budapest, Lövőház utca 39, I. emelet"
Oktogon Medical Center,Bőrgyógyászat szakorvosi vizsgálat,30984.0,2025-07-26,16:43:00,2025-07-26 16:43:00,"Budapest, Andrássy út 46"
Oxygen Medical Magánorvosi Központ,Bőrgyógyászat szakorvosi vizsgálat,31410.0,2025-07-26,18:06:00,2025-07-26 18:06:00,"Budapest, Árpád út 47."
Pálma Egészségügyi Központ,Bőrgyógyászat szakorvosi vizsgálat,37565.0,2025-07-25,11:52:00,2025-07-25 11:52:00,"Budapest, Margit körút 44"
Pannónia Magánorvosi Centrum,Bőrgyógyászat szakorvosi vizsgálat,37879.0,2025-07-29,12:30:00,2025-07-29 12:30:00,Budapest Pannónia utca 35
Parliament Medical Center,Bőrgyógyászat szakorvosi vizsgálat,35836.0,2025-08-07,07:54:00,2025-08-07 07:54:00,"Budapest, Vajkay utca 1"
Pasamed-Pasaréti Sportegészségügyi Centrum,Bőrgyógyászat szakorvosi vizsgálat,30711.0,2025-08-17,13:44:00,2025-08-17 13:44:00,nan
Pesti Gasztroenterológiai Centrum,Bőrgyógyászat szakorvosi vizsgálat,37540.0,2025-07-15,17:15:00,2025-07-15 17:15:00,nan
Pesti Magánorvosi Centrm,Bőrgyógyászat szakorvosi vizsgálat,29960.0,2025-07-26,17:32:00,2025-07-26 17:32:00,nan
Pozitron Medical Diagnosztika Központ,Bőrgyógyászat szakorvosi vizsgálat,39550.0,2025-08-06,17:40:00,2025-08-06 17:40:00,nan
Praxis Magánrendelő,Bőrgyógyászat szakorvosi vizsgálat,35369.0,2025-08-09,14:24:00,2025-08-09 14:24:00,nan
Primavera Medical Center,Bőrgyógyászat szakorvosi vizsgálat,32050.0,2025-07-22,19:54:00,2025-07-22 19:54:00,nan
RadiVert Diagnostic MR vizsgálatok,Bőrgyógyászat szakorvosi vizsgálat,38072.0,2025-08-02,19:01:00,2025-08-02 19:01:00,nan
Regenero Egészségház,Bőrgyógyászat szakorvosi vizsgálat,37537.0,2025-07-27,15:26:00,2025-07-27 15:26:00,nan
Remete 72 Magánrendelő,Bőrgyógyászat szakorvosi vizsgálat,35915.0,2025-07-26,10:49:00,2025-07-26 10:49:00,nan
RMC Clinics (Rózsakert Medical Center),Bőrgyógyászat szakorvosi vizsgálat,38800.0,2025-08-13,13:56:00,2025-08-13 13:56:00,nan
SanBer Medical,Bőrgyógyászat szakorvosi vizsgálat,31168.0,2025-08-07,19:16:00,2025-08-07 19:16:00,nan
Secret Medical Egészségügyi-és Orvosesztétikai Központ,Bőrgyógyászat szakorvosi vizsgálat,39866.0,2025-07-23,13:21:00,2025-07-23 13:21:00,nan
Smart Diagnosztika,Bőrgyógyászat szakorvosi vizsgálat,33110.0,2025-07-26,12:45:00,2025-07-26 12:45:00,nan
SmileyMed,Bőrgyógyászat szakorvosi vizsgálat,30556.0,2025-07-25,09:03:00,2025-07-25 09:03:00,nan
Soulutions Medical,Bőrgyógyászat szakorvosi vizsgálat,31589.0,2025-07-28,08:02:00,2025-07-28 08:02:00,nan
St. Sebastian Physio Center,Bőrgyógyászat szakorvosi vizsgálat,32129.0,2025-08-20,17:27:00,2025-08-20 17:27:00,nan
STEPS Robotikus Rehabilitációs központ,Bőrgyógyászat szakorvosi vizsgálat,29745.0,2025-08-09,12:10:00,2025-08-09 12:10:00,nan
Szent Magdolna Magánkórház,Bőrgyógyászat szakorvosi vizsgálat,38420.0,2025-07-24,17:52:00,2025-07-24 17:52:00,nan
Szigetvilág Magánorvosi Rendelő,Bőrgyógyászat szakorvosi vizsgálat,30156.0,2025-07-25,18:37:00,2025-07-25 18:37:00,nan
T&T Orvosi Rendelő,Bőrgyógyászat szakorvosi vizsgálat,29156.0,2025-07-16,12:16:00,2025-07-16 12:16:00,nan
Tabán Medical,Bőrgyógyászat szakorvosi vizsgálat,33353.0,2025-07-13,10:28:00,2025-07-13 10:28:00,nan
TritonLife,Bőrgyógyászat szakorvosi vizsgálat,39663.0,2025-07-15,11:15:00,2025-07-15 11:15:00,nan
Újbuda Medical Center,Bőrgyógyászat szakorvosi vizsgálat,39038.0,2025-08-15,17:14:00,2025-08-15 17:14:00,nan
Visegrádi40 Magánrendelő,Bőrgyógyászat szakorvosi vizsgálat,36476.0,2025-08-13,11:45:00,2025-08-13 11:45:00,nan
Vitahelp,Bőrgyógyászat szakorvosi vizsgálat,31182.0,2025-07-14,10:31:00,2025-07-14 10:31:00,nan
VP-Med Egészségcentrum és Oktatási Központ,Bőrgyógyászat szakorvosi vizsgálat,36268.0,2025-08-05,07:50:00,2025-08-05 07:50:00,nan
Wáberer Medical Center,Bőrgyógyászat szakorvosi vizsgálat,29787.0,2025-08-05,18:48:00,2025-08-05 18:48:00,nan
WellWay Clinics,Bőrgyógyászat szakorvosi vizsgálat,36510.0,2025-08-09,14:17:00,2025-08-09 14:17:00,nan
Zenon Clinic,Bőrgyógyászat szakorvosi vizsgálat,35845.0,2025-07-15,15:55:00,2025-07-15 15:55:00,nan
nan,Bőrgyógyászat szakorvosi vizsgálat,,2025-07-29,16:00:00,2025-07-29 16:00:00,nan
nan,Bőrgyógyászat szakorvosi vizsgálat,,2025-07-31,14:14:00,2025-07-31 14:14:00,nan
27 Sellő Mozgásszervi Terápiás Centrum,MR-natív,68042.0,2025-08-16,17:06:00,2025-08-16 17:06:00,Budaörsi út 29
Aesthetica Orvosi Központ,MR-natív,67068.0,2025-07-21,08:05:00,2025-07-21 08:05:00,"Budapest, Váci út 76"
Affidea Magyarország,MR-natív,64964.0,2025-07-15,15:11:00,2025-07-15 15:11:00,"Budapest, Fövény utca 4"
Affidea Magyarország,MR-natív,64964.0,2025-07-21,18:40:00,2025-07-21 18:40:00,"Budapest, Lövőház utca 2"
Affidea Magyarország,MR-natív,64964.0,2025-07-31,10:41:00,2025-07-31 10:41:00,"Budapest, Szabadság tér 7."
Affidea Magyarország,MR-natív,64964.0,2025-07-13,08:40:00,2025-07-13 08:40:00,"Budapest, Hercegprímás utca 14"
Affidea Magyarország,MR-natív,64964.0,2025-08-03,08:43:00,2025-08-03 08:43:00,"Budapest, Örs vezér tere 25."
Affidea Magyarország,MR-natív,64964.0,2025-07-20,18:13:00,2025-07-20 18:13:00,"Győr, Vasvári pál utca 2"
Caring Medical Center,MR-natív,46994.0,2025-07-18,11:26:00,2025-07-18 11:26:00,"Budapest, Zsigmond tér 10."
Central Clinic,MR-natív,56740.0,2025-07-24,16:50:00,2025-07-24 16:50:00,"Budapest, Rákóczi út 4"
Claro Klinika,MR-natív,61058.0,2025-07-17,08:26:00,2025-07-17 08:26:00,"Budapest, Teréz krt. 24"
Clinexpert,MR-natív,48846.0,2025-07-13,12:40:00,2025-07-13 12:40:00,"Budapest, Kaszásdűlő utca 7."
CMF Medical,MR-natív,67511.0,2025-08-19,12:48:00,2025-08-19 12:48:00,"Budapest, Bécsi út 154"
CMF Medical,MR-natív,67511.0,2025-08-15,16:52:00,2025-08-15 16:52:00,"Pilisvörösvár, Árpád utca 21"
CMF Medical,MR-natív,67511.0,2025-07-16,09:49:00,2025-07-16 09:49:00,"Jászberény, Kossuth Lajos utca 5."
CMF Medical,MR-natív,67511.0,2025-08-14,08:36:00,2025-08-14 08:36:00,"Biatorbágy, Mester utca 2"
CMF Medical,MR-natív,67511.0,2025-08-01,19:40:00,2025-08-01 19:40:00,"Szentendre, Stromfeld Aurél utca 1/A"
Coordimed,MR-natív,63280.0,2025-07-13,17:54:00,2025-07-13 17:54:00,"Budapest, Völgy utca 5"
Delfin Ultrahang,MR-natív,48159.0,2025-08-05,18:48:00,2025-08-05 18:48:00,"Budapest, Pünkösdfürdő utca 48."
Dimenzió Orvosi Klinika,MR-natív,66076.0,2025-07-16,11:52:00,2025-07-16 11:52:00,"Budaörs, Lomnici köz 19."
Dimenzió-Med Egészségközpont,MR-natív,46897.0,2025-08-16,06:37:00,2025-08-16 06:37:00,"Budapest, Vécsey u. 3."
Doktor24,MR-natív,59592.0,2025-07-28,12:04:00,2025-07-28 12:04:00,"Budapest, Koszorúslány u. 1."
Doktor24,MR-natív,59592.0,2025-08-15,16:36:00,2025-08-15 16:36:00,"Budapest, Váci út 37."
Doktor24,MR-natív,59592.0,2025-08-17,18:32:00,2025-08-17 18:32:00,"Budapest, Könyves Kálmán krt. 12-14."
Doktor24,MR-natív,59592.0,2025-07-17,18:11:00,2025-07-17 18:11:00,"Paks, Tolnai út 93."
Doktor24,MR-natív,59592.0,2025-08-20,16:44:00,2025-08-20 16:44:00,"Pécs, Málics Ottó utca 1."
Doktor24,MR-natív,59592.0,2025-07-10,13:06:00,2025-07-10 13:06:00,"Szeged, Petőfi S. Sgt. 39."
Doktor24,MR-natív,59592.0,2025-07-21,08:45:00,2025-07-21 08:45:00,"Székesfehérvár, Huszár utca 2."
Egressy Medical,MR-natív,59721.0,2025-08-12,17:30:00,2025-08-12 17:30:00,"Budapest, Egressy út 28-30."
Emineo Magánkórház,MR-natív,48546.0,2025-08-01,12:19:00,2025-08-01 12:19:00,"Budapest, Hegyalja út 7."
EndoCare Endokrinológiai Központ,MR-natív,55945.0,2025-07-25,18:00:00,2025-07-25 18:00:00,"Budapest, Lechner Ödön fasor 7."
EntiTárs Egészségközpont,MR-natív,61643.0,2025-07-15,11:00:00,2025-07-15 11:00:00,"Budapest, Vilánnyi út 22/A"
Erzsébet Dentál & Medical,MR-natív,68026.0,2025-08-13,10:55:00,2025-08-13 10:55:00,Budapest Lajtha László utca 24.
ForHerMed Klinika,MR-natív,52490.0,2025-08-17,11:30:00,2025-08-17 11:30:00,"Budapest, Bimbó út 108."
Főnix Medical Center,MR-natív,54868.0,2025-07-15,14:30:00,2025-07-15 14:30:00,"Budapest, Sasadi út 184"
Gasztro Klinika,MR-natív,69855.0,2025-08-08,06:53:00,2025-08-08 06:53:00,"Budapest, Bokor utca 17"
Geomedical,MR-natív,68557.0,2025-07-18,15:56:00,2025-07-18 15:56:00,"Budapest, Kókai utca 6"
Globe Medical Center,MR-natív,62743.0,2025-07-23,18:16:00,2025-07-23 18:16:00,"Budapest, Szalay utca 2"
Golden Medical Center,MR-natív,52101.0,2025-07-16,18:35:00,2025-07-16 18:35:00,"Budapest, Tutaj utca 8."
Halas Medical Egészségközpont,MR-natív,48981.0,2025-07-14,16:35:00,2025-07-14 16:35:00,"Kiskunhalas, Eötvös utca 19."
Haller Medical,MR-natív,54702.0,2025-08-06,07:06:00,2025-08-06 07:06:00,"Budapest, Haller utca 23"
Halom Medical Egészségközpont,MR-natív,64867.0,2025-07-15,17:54:00,2025-07-15 17:54:00,"Budapest, Halom utca 10"
Hattyú Medicina,MR-natív,51060.0,2025-07-28,12:05:00,2025-07-28 12:05:00,"Budapest, Hattyú utca 16."
Health&Youth Egészségközpont,MR-natív,53897.0,2025-07-10,19:27:00,2025-07-10 19:27:00,"Budapest,  Billegető utca 2/c"
Hepinet Ultrahanghálózat,MR-natív,68700.0,2025-08-18,08:24:00,2025-08-18 08:24:00,"Budapest, Péterfy Sándor utca 8."
Hepinet Ultrahanghálózat,MR-natív,46305.0,2025-07-23,09:36:00,2025-07-23 09:36:00,"Székesfehérvár, Budai út 49."
Hepinet Ultrahanghálózat,MR-natív,53828.0,2025-08-11,10:11:00,2025-08-11 10:11:00,"Dunaújváros, Bartók Béla út 12. fszt. 1."
Hepinet Ultrahanghálózat,MR-natív,69972.0,2025-07-16,12:31:00,2025-07-16 12:31:00,"Budapest, Fehérvári út 12. IV. emelet 408."
Hepinet Ultrahanghálózat,MR-natív,66097.0,2025-08-19,18:03:00,2025-08-19 18:03:00,"Budapest, Árpád út 47."
Hepinet Ultrahanghálózat,MR-natív,59934.0,2025-07-20,09:12:00,2025-07-20 09:12:00,"Budapest, Bosnyák utca 48-50. E lépcsőház fszt 1"
HT Medical Center,MR-natív,56005.0,2025-07-27,13:09:00,2025-07-27 13:09:00,"Budapest, Pesti út 177."
Hungária Med-M,MR-natív,62429.0,2025-07-10,16:42:00,2025-07-10 16:42:00,"Budapest, Jász u. 33-35."
Hungária Med-M,MR-natív,53454.0,2025-08-01,08:19:00,2025-08-01 08:19:00,"Győr, Bajcsy-Zsilinszky utca 30-32"
IQB Medical Rózsadomb Center Egészségközpont,MR-natív,54544.0,2025-08-09,09:46:00,2025-08-09 09:46:00,"Budapest, Törökvész út 87"
Istenhegyi Klinika,MR-natív,52797.0,2025-08-14,11:06:00,2025-08-14 11:06:00,"Budapest, Istenhegyi út 31"
LilyMed termékenységi és nőgyógyászati magánrendelő,MR-natív,46250.0,2025-08-10,06:38:00,2025-08-10 06:38:00,"Budapest, Tinódi utca 1-3"
Liv Duna Medical Center,MR-natív,58100.0,2025-07-21,14:04:00,2025-07-21 14:04:00,"Budapest, Lechner Ödön fasor 5"
Ma Belle Medical,MR-natív,50681.0,2025-07-27,16:14:00,2025-07-27 16:14:00,"Budapest, Andrássy út 43."
Madarász Ultrahang,MR-natív,47685.0,2025-08-04,17:49:00,2025-08-04 17:49:00,"Budapest, Madarász Viktor utca 47-49"
Margit Híd Medical,MR-natív,67834.0,2025-08-10,18:52:00,2025-08-10 18:52:00,"Budapest , Margit körút 5"
Mária Medical Magánrendelő,MR-natív,65753.0,2025-08-06,16:35:00,2025-08-06 16:35:00,"Budapest, Hidegkúti út 82/b"
Medalpin Medical Center,MR-natív,66881.0,2025-07-25,06:21:00,2025-07-25 06:21:00,"Budapest, Szállás utca 24"
Medcity Egészségközpont,MR-natív,51948.0,2025-08-08,07:22:00,2025-08-08 07:22:00,"Budapest, Megyeri út 53"
Medical Healing Point,MR-natív,57699.0,2025-08-09,12:16:00,2025-08-09 12:16:00,nan
Medical Point Egészségközpont,MR-natív,55319.0,2025-07-22,15:08:00,2025-07-22 15:08:00,"Budapest, Madarász Viktor utca 47-49"
Medical Sport Rehabilitációs Központ,MR-natív,59992.0,2025-08-05,16:55:00,2025-08-05 16:55:00,"Budapest, Bécsi út 3-5, V. em. 55"
Medicina Egészségközpont,MR-natív,56518.0,2025-07-17,06:22:00,2025-07-17 06:22:00,"Budapest, Budakeszi út 36/C."
Medicina Egészségközpont,MR-natív,59696.0,2025-08-18,14:13:00,2025-08-18 14:13:00,"Budapest, Istenhegyi út 31/b"
Medina Egészségcentrum,MR-natív,46648.0,2025-08-17,09:05:00,2025-08-17 09:05:00,"Budapest, Liszt Ferenc utca 6"
Medve Medical Egészségközpont,MR-natív,47052.0,2025-07-24,15:23:00,2025-07-24 15:23:00,"Budapest, Medve utca 34-40"
Menzou Dental,MR-natív,68328.0,2025-07-31,15:44:00,2025-07-31 15:44:00,"Budapest, Vérmező út 6, földszint 1"
Móricz Medical Center,MR-natív,57046.0,2025-08-08,08:10:00,2025-08-08 08:10:00,"Budapest, Móricz Zsigmond körtér 2, 1. emelet 2"
myderm Magánbőrgyógyászati és Orvosi Esztétikai Rendelő,MR-natív,62755.0,2025-07-12,16:22:00,2025-07-12 16:22:00,"Budapest, Lövőház utca 39, I. emelet"
Oktogon Medical Center,MR-natív,61269.0,2025-07-21,08:02:00,2025-07-21 08:02:00,"Budapest, Andrássy út 46"
Oxygen Medical Magánorvosi Központ,MR-natív,46943.0,2025-07-17,08:49:00,2025-07-17 08:49:00,"Budapest, Árpád út 47."
Pálma Egészségügyi Központ,MR-natív,53630.0,2025-07-24,11:32:00,2025-07-24 11:32:00,"Budapest, Margit körút 44"
Pannónia Magánorvosi Centrum,MR-natív,58020.0,2025-07-17,11:40:00,2025-07-17 11:40:00,Budapest Pannónia utca 35
Parliament Medical Center,MR-natív,49583.0,2025-07-15,16:31:00,2025-07-15 16:31:00,"Budapest, Vajkay utca 1"
Pasamed-Pasaréti Sportegészségügyi Centrum,MR-natív,47106.0,2025-08-17,19:32:00,2025-08-17 19:32:00,nan
Pesti Gasztroenterológiai Centrum,MR-natív,56977.0,2025-07-16,18:23:00,2025-07-16 18:23:00,nan
Pesti Magánorvosi Centrm,MR-natív,67423.0,2025-07-22,10:21:00,2025-07-22 10:21:00,nan
Pozitron Medical Diagnosztika Központ,MR-natív,61647.0,2025-07-22,10:00:00,2025-07-22 10:00:00,nan
Praxis Magánrendelő,MR-natív,64660.0,2025-08-06,09:24:00,2025-08-06 09:24:00,nan
Primavera Medical Center,MR-natív,48538.0,2025-07-21,14:32:00,2025-07-21 14:32:00,nan
RadiVert Diagnostic MR vizsgálatok,MR-natív,68161.0,2025-07-12,11:37:00,2025-07-12 11:37:00,nan
Regenero Egészségház,MR-natív,54632.0,2025-08-13,17:11:00,2025-08-13 17:11:00,nan
Remete 72 Magánrendelő,MR-natív,46837.0,2025-07-14,14:46:00,2025-07-14 14:46:00,nan
RMC Clinics (Rózsakert Medical Center),MR-natív,48885.0,2025-07-17,06:30:00,2025-07-17 06:30:00,nan
SanBer Medical,MR-natív,63329.0,2025-08-18,13:14:00,2025-08-18 13:14:00,nan
Secret Medical Egészségügyi-és Orvosesztétikai Központ,MR-natív,54811.0,2025-08-12,14:00:00,2025-08-12 14:00:00,nan
Smart Diagnosztika,MR-natív,55716.0,2025-07-23,19:52:00,2025-07-23 19:52:00,nan
SmileyMed,MR-natív,55756.0,2025-08-07,08:24:00,2025-08-07 08:24:00,nan
Soulutions Medical,MR-natív,67699.0,2025-07-25,19:59:00,2025-07-25 19:59:00,nan
St. Sebastian Physio Center,MR-natív,60016.0,2025-08-02,16:06:00,2025-08-02 16:06:00,nan
STEPS Robotikus Rehabilitációs központ,MR-natív,58577.0,2025-08-20,14:55:00,2025-08-20 14:55:00,nan
Szent Magdolna Magánkórház,MR-natív,58723.0,2025-08-16,15:37:00,2025-08-16 15:37:00,nan
Szigetvilág Magánorvosi Rendelő,MR-natív,52259.0,2025-08-02,15:26:00,2025-08-02 15:26:00,nan
T&T Orvosi Rendelő,MR-natív,57245.0,2025-07-17,18:25:00,2025-07-17 18:25:00,nan
Tabán Medical,MR-natív,65344.0,2025-08-08,16:17:00,2025-08-08 16:17:00,nan
TritonLife,MR-natív,47085.0,2025-08-09,11:21:00,2025-08-09 11:21:00,nan
Újbuda Medical Center,MR-natív,49538.0,2025-07-19,14:09:00,2025-07-19 14:09:00,nan
Visegrádi40 Magánrendelő,MR-natív,62134.0,2025-08-20,13:55:00,2025-08-20 13:55:00,nan
Vitahelp,MR-natív,45267.0,2025-07-19,12:31:00,2025-07-19 12:31:00,nan
VP-Med Egészségcentrum és Oktatási Központ,MR-natív,49296.0,2025-07-30,11:57:00,2025-07-30 11:57:00,nan
Wáberer Medical Center,MR-natív,56167.0,2025-07-24,17:47:00,2025-07-24 17:47:00,nan
WellWay Clinics,MR-natív,52839.0,2025-07-23,06:19:00,2025-07-23 06:19:00,nan
Zenon Clinic,MR-natív,59036.0,2025-07-16,15:22:00,2025-07-16 15:22:00,nan
nan,MR-natív,,2025-08-15,13:57:00,2025-08-15 13:57:00,nan
nan,MR-natív,,2025-08-19,15:53:00,2025-08-19 15:53:00,nan
27 Sellő Mozgásszervi Terápiás Centrum,MR natív+kontrasztanyagos,90521.0,2025-07-30,08:44:00,2025-07-30 08:44:00,Budaörsi út 29
Aesthetica Orvosi Központ,MR natív+kontrasztanyagos,100700.0,2025-08-10,10:44:00,2025-08-10 10:44:00,"Budapest, Váci út 76"
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-07-26,09:35:00,2025-07-26 09:35:00,"Budapest, Fövény utca 4"
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-07-17,08:32:00,2025-07-17 08:32:00,"Budapest, Lövőház utca 2"
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-08-07,08:49:00,2025-08-07 08:49:00,"Budapest, Szabadság tér 7."
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-08-14,08:18:00,2025-08-14 08:18:00,"Budapest, Hercegprímás utca 14"
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-07-20,19:32:00,2025-07-20 19:32:00,"Budapest, Örs vezér tere 25."
Affidea Magyarország,MR natív+kontrasztanyagos,67649.0,2025-08-08,18:02:00,2025-08-08 18:02:00,"Győr, Vasvári pál utca 2"
Caring Medical Center,MR natív+kontrasztanyagos,82413.0,2025-08-11,09:26:00,2025-08-11 09:26:00,"Budapest, Zsigmond tér 10."
Central Clinic,MR natív+kontrasztanyagos,92013.0,2025-07-17,18:24:00,2025-07-17 18:24:00,"Budapest, Rákóczi út 4"
Claro Klinika,MR natív+kontrasztanyagos,104097.0,2025-07-21,14:10:00,2025-07-21 14:10:00,"Budapest, Teréz krt. 24"
Clinexpert,MR natív+kontrasztanyagos,87136.0,2025-08-15,16:45:00,2025-08-15 16:45:00,"Budapest, Kaszásdűlő utca 7."
CMF Medical,MR natív+kontrasztanyagos,116334.0,2025-07-29,12:45:00,2025-07-29 12:45:00,"Budapest, Bécsi út 154"
CMF Medical,MR natív+kontrasztanyagos,116334.0,2025-07-29,09:10:00,2025-07-29 09:10:00,"Pilisvörösvár, Árpád utca 21"
CMF Medical,MR natív+kontrasztanyagos,116334.0,2025-07-20,19:42:00,2025-07-20 19:42:00,"Jászberény, Kossuth Lajos utca 5."
CMF Medical,MR natív+kontrasztanyagos,116334.0,2025-07-24,19:56:00,2025-07-24 19:56:00,"Biatorbágy, Mester utca 2"
CMF Medical,MR natív+kontrasztanyagos,116334.0,2025-07-25,08:54:00,2025-07-25 08:54:00,"Szentendre, Stromfeld Aurél utca 1/A"
Coordimed,MR natív+kontrasztanyagos,72053.0,2025-08-15,13:16:00,2025-08-15 13:16:00,"Budapest, Völgy utca 5"
Delfin Ultrahang,MR natív+kontrasztanyagos,88606.0,2025-08-09,17:34:00,2025-08-09 17:34:00,"Budapest, Pünkösdfürdő utca 48."
Dimenzió Orvosi Klinika,MR natív+kontrasztanyagos,67443.0,2025-08-10,10:11:00,2025-08-10 10:11:00,"Budaörs, Lomnici köz 19."
Dimenzió-Med Egészségközpont,MR natív+kontrasztanyagos,88745.0,2025-07-16,07:27:00,2025-07-16 07:27:00,"Budapest, Vécsey u. 3."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-07-29,16:45:00,2025-07-29 16:45:00,"Budapest, Koszorúslány u. 1."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-08-19,18:31:00,2025-08-19 18:31:00,"Budapest, Váci út 37."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-08-19,11:54:00,2025-08-19 11:54:00,"Budapest, Könyves Kálmán krt. 12-14."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-07-21,16:02:00,2025-07-21 16:02:00,"Paks, Tolnai út 93."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-08-13,12:07:00,2025-08-13 12:07:00,"Pécs, Málics Ottó utca 1."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-08-09,16:02:00,2025-08-09 16:02:00,"Szeged, Petőfi S. Sgt. 39."
Doktor24,MR natív+kontrasztanyagos,70830.0,2025-08-14,10:01:00,2025-08-14 10:01:00,"Székesfehérvár, Huszár utca 2."
Egressy Medical,MR natív+kontrasztanyagos,73522.0,2025-08-08,12:39:00,2025-08-08 12:39:00,"Budapest, Egressy út 28-30."
Emineo Magánkórház,MR natív+kontrasztanyagos,85548.0,2025-07-16,10:10:00,2025-07-16 10:10:00,"Budapest, Hegyalja út 7."
EndoCare Endokrinológiai Központ,MR natív+kontrasztanyagos,114916.0,2025-08-12,11:17:00,2025-08-12 11:17:00,"Budapest, Lechner Ödön fasor 7."
EntiTárs Egészségközpont,MR natív+kontrasztanyagos,81863.0,2025-08-01,06:01:00,2025-08-01 06:01:00,"Budapest, Vilánnyi út 22/A"
Erzsébet Dentál & Medical,MR natív+kontrasztanyagos,80110.0,2025-07-17,11:52:00,2025-07-17 11:52:00,Budapest Lajtha László utca 24.
ForHerMed Klinika,MR natív+kontrasztanyagos,76991.0,2025-07-26,08:46:00,2025-07-26 08:46:00,"Budapest, Bimbó út 108."
Főnix Medical Center,MR natív+kontrasztanyagos,116061.0,2025-08-11,17:14:00,2025-08-11 17:14:00,"Budapest, Sasadi út 184"
Gasztro Klinika,MR natív+kontrasztanyagos,76230.0,2025-07-24,19:04:00,2025-07-24 19:04:00,"Budapest, Bokor utca 17"
Geomedical,MR natív+kontrasztanyagos,84616.0,2025-08-07,16:46:00,2025-08-07 16:46:00,"Budapest, Kókai utca 6"
Globe Medical Center,MR natív+kontrasztanyagos,105296.0,2025-07-27,11:32:00,2025-07-27 11:32:00,"Budapest, Szalay utca 2"
Golden Medical Center,MR natív+kontrasztanyagos,76605.0,2025-08-18,06:19:00,2025-08-18 06:19:00,"Budapest, Tutaj utca 8."
Halas Medical Egészségközpont,MR natív+kontrasztanyagos,79340.0,2025-08-11,16:30:00,2025-08-11 16:30:00,"Kiskunhalas, Eötvös utca 19."
Haller Medical,MR natív+kontrasztanyagos,102426.0,2025-08-08,07:47:00,2025-08-08 07:47:00,"Budapest, Haller utca 23"
Halom Medical Egészségközpont,MR natív+kontrasztanyagos,117240.0,2025-08-01,14:36:00,2025-08-01 14:36:00,"Budapest, Halom utca 10"
Hattyú Medicina,MR natív+kontrasztanyagos,80491.0,2025-08-05,07:36:00,2025-08-05 07:36:00,"Budapest, Hattyú utca 16."
Health&Youth Egészségközpont,MR natív+kontrasztanyagos,114624.0,2025-08-03,19:38:00,2025-08-03 19:38:00,"Budapest,  Billegető utca 2/c"
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,93703.0,2025-08-05,17:30:00,2025-08-05 17:30:00,"Budapest, Péterfy Sándor utca 8."
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,112401.0,2025-08-03,13:11:00,2025-08-03 13:11:00,"Székesfehérvár, Budai út 49."
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,79235.0,2025-08-19,14:13:00,2025-08-19 14:13:00,"Dunaújváros, Bartók Béla út 12. fszt. 1."
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,66676.0,2025-08-12,17:16:00,2025-08-12 17:16:00,"Budapest, Fehérvári út 12. IV. emelet 408."
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,75039.0,2025-07-21,14:07:00,2025-07-21 14:07:00,"Budapest, Árpád út 47."
Hepinet Ultrahanghálózat,MR natív+kontrasztanyagos,104984.0,2025-07-14,09:53:00,2025-07-14 09:53:00,"Budapest, Bosnyák utca 48-50. E lépcsőház fszt 1"
HT Medical Center,MR natív+kontrasztanyagos,74347.0,2025-08-10,13:10:00,2025-08-10 13:10:00,"Budapest, Pesti út 177."
Hungária Med-M,MR natív+kontrasztanyagos,67319.0,2025-07-25,09:47:00,2025-07-25 09:47:00,"Budapest, Jász u. 33-35."
Hungária Med-M,MR natív+kontrasztanyagos,118054.0,2025-08-06,06:58:00,2025-08-06 06:58:00,"Győr, Bajcsy-Zsilinszky utca 30-32"
